# File: fluoridation.csv
# Title: Artificial fluoridation of public water supply
# Units: NA
# Description: Logical. Is fluoride added to public water to promote dental health?
# Comments:
# Source: Given in table.
city,fluoridation,source_ref
Tokyo,FALSE,bfs2013
Delhi,FALSE,dlh_water
