# File: pop_and_demand.csv
# Title: Population and demand detail
# Units: Given in table.
# Description: Population served (with treated water), total demand (i.e., water consumption rates), share of demand to domestic customers, and pervation.
# Comments:
# Source: Given in table.
city,pop_served,pop_served_pc,demand,dem_unit,share_dom,source_ref
Tokyo,13.173,100,4.078,Mm3/d,73,tky_gov
Delhi,19,75.2,452.15,MGi/d,94.2,dlh_water
