# File: meter_penetration.csv
# Title: Penetration of water meters
# Units: Percent
# Description: Meter penetration as % of domestic households
# Comments:
# Source: Given in table.
city,meter_pen,source_ref
Tokyo,100,wbaaa2006
Delhi,80,dlh_cityreport
