# File: leakage_rates.csv
# Title: Leakage rates by city
# Units: Percent
# Description: Leakage rates (% water lost between treatment and consumption)
# Comments: Distribution system leakage only
# Source: Given in table.
city,leak_rate,report_yr,source_ref
Tokyo,3.1,2016,tky_leak
Delhi,40,2017,dlh_water
