# File: water_costs.csv
# Title: Water costs for domestic users
# Units: Specified in table
# Description: Charge rates for household users
# Comments:
# Source: Given in table.
city,cost,currency,volumetric_unit,report_yr,source_ref,notes
Tokyo,195.45,JPY,m3,2016,tky_refs,average cost ex tax
Delhi,0.00,INR,m3,2017,dlh_water,first 20k litres free
